t,vx,vy,vz
12.46909,0,0,0
12.48484,0,0,0
12.50201,0,0,0
12.519,0,0,0
12.53533,0,0,0
12.55193,0,0,0
12.5686,0,0,0
12.58487,0,0,0
12.60234,0,0,0
12.6187,0,0,0
12.63506,0,0,0
12.65187,0,0,0
12.66857,0,0,0
12.68494,0,0,0
12.70219,0,0,0
12.71871,0,0,0
12.7359,0,0,0
12.75182,0,0,0
12.76869,0,0,0
12.78506,0,0,0
12.80203,0,0,0
12.81895,0,0,0
12.83543,0,0,0
12.85212,0,0,0
12.86892,0,0,0
12.88493,0,0,0
12.90191,0,0,0
12.91826,0,0,0
12.93493,0,0,0
12.9519,0,0,0
12.96883,0,0,0
12.98521,0,0,0
13.00171,0,0,0
13.01861,0,0,0
13.03502,0,0,0
13.05207,0,0,0
13.0687,0,0,0
13.08502,0,0,0
13.10193,0,0,0
13.11879,0,0,0
13.13492,0,0,0
13.15185,0,0,0
13.16854,0,0,0
13.18486,0,0,0
13.202,0,0,0
13.21801,0,0,0
13.23484,0,0,0
13.25201,0,0,0
13.26838,0,0,0
13.285,0,0,0
13.30215,0,0,0
13.31863,0,0,0
13.33556,0,0,0
13.35194,0,0,0
13.3689,0,0,0
13.38489,0,0,0
13.40182,0,0,0
13.41873,0,0,0
13.4353,0,0,0
13.45135,0,0,0
13.46854,0,0,0
13.48505,0,0,0
13.50167,0,0,0
13.51841,0,0,0
13.53526,0,0,0
13.55174,0,0,0
13.56886,0,0,0
13.585,0,0,0
13.60184,0,0,0
13.61832,0,0,0
13.63523,0,0,0
13.65195,0,0,0
13.66879,0,0,0
13.68524,0,0,0
13.70192,0,0,0
13.7188,0,0,0
13.73489,0,0,0
13.75149,0,0,0
13.76807,0,0,0
13.78459,0,0,0
13.80126,0,0,0
13.81801,0,0,0
13.83469,0,0,0
13.85148,0,0,0
13.86832,0,0,0
13.8847,0,0,0
13.9014,0,0,0
13.91814,0,0,0
13.93523,0,0,0
13.95114,0,0,0
13.96849,0,0,0
13.98447,0,0,0
14.00169,0,0,0
14.01791,0,0,0
14.03477,0,0,0
14.05124,0,0,0
14.06796,0,0,0
14.08455,0,0,0
14.1017,0,0,0
14.11848,0,0,0
14.135,0,0,0
14.15145,0,0,0
14.16806,0,0,0
14.18494,0,0,0
14.20184,0,0,0
14.21838,0,0,0
14.23455,0,0,0
14.25118,0,0,0
14.26835,0,0,0
14.28497,0,0,0
14.30146,0,0,0
14.31842,0,0,0
14.33514,0,0,0
14.35186,0,0,0
14.36797,0,0,0
14.38478,0,0,0
14.40174,0,0,0
14.41866,0,0,0
14.43504,0,0,0
14.45168,0,0,0
14.4684,0,0,0
14.48514,0,0,0
14.50175,0,0,0
14.51874,0,0,0
14.53477,0,0,0
14.55153,0,0,0
14.56819,0,0,0
14.58492,0,0,0
14.60158,0,0,0
