t,x,y,z, HasCollision
5.898968,164.7664,13.82965,231.2538,False
5.916172,164.7664,13.5632,231.2538,False
5.932232,164.7664,13.08238,231.2538,False
5.949192,164.7664,12.31611,231.2538,False
5.965412,164.7664,11.34603,231.2538,False
5.982174,164.7664,10.0906,231.2538,False
5.999203,164.7664,8.55455,231.2538,False
6.015575,164.7664,6.836345,231.2538,False
6.032391,164.7664,4.817184,231.2538,False
6.049137,164.7664,2.553842,231.2538,False
6.065937,164.7664,0.02876639,231.2538,False
6.082905,164.7664,-2.261811,231.2538,False
6.099133,164.7664,-4.215109,231.2538,False
6.115833,164.7664,-5.974922,231.2538,False
6.13258,164.7664,-7.487316,231.2538,False
6.149082,164.7664,-8.732433,231.2538,False
6.165203,164.7664,-9.714644,231.2538,False
6.182003,164.7664,-10.48453,231.2538,False
6.199131,164.7664,-11.00522,231.2538,False
6.21603,164.7664,-11.262,230.9967,False
6.232456,164.7664,-11.26872,230.504,False
6.248653,164.7664,-11.26872,229.782,False
6.265369,164.7664,-11.26872,228.7857,False
6.28204,164.7664,-11.26872,227.5417,False
6.298672,164.7664,-11.26872,226.0519,False
6.315731,164.7664,-11.26872,224.2617,False
6.332157,164.7664,-11.26872,222.2948,False
6.348606,164.7664,-11.26872,220.082,False
6.365749,164.7664,-11.26872,217.5116,False
6.381916,164.7664,-11.26872,214.8514,False
6.39854,164.7664,-11.26872,211.8675,False
6.415546,164.7664,-11.26872,208.555,False
6.431873,164.7664,-11.26872,205.1366,False
6.448902,164.7664,-11.26872,201.3084,False
6.465481,164.7664,-11.26872,197.333,False
6.48193,164.7664,-11.26872,193.1464,False
6.498707,164.7664,-11.26872,188.6246,False
6.515636,164.7664,-11.26872,183.8008,False
6.516537,164.7664,-11.26872,183.8008,True
6.532063,164.7894,-12.32578,178.9949,False
6.548855,164.9219,-14.15367,174.3013,False
6.565311,165.1653,-16.3429,169.8822,False
6.591297,165.7972,-20.33707,163.2184,False
6.598705,165.9786,-21.4032,161.2763,False
6.615582,166.3918,-23.83114,156.8535,False
6.633404,166.8393,-26.23166,152.0965,False
6.650043,167.2755,-28.33631,147.5904,False
6.667362,167.7557,-30.40158,142.8482,False
6.68372,168.2397,-32.25088,138.329,False
6.699047,168.7258,-33.90082,134.0653,False
6.716373,169.2755,-35.76694,129.2429,False
6.732265,169.8182,-37.41234,124.8014,False
6.749134,170.4375,-39.09737,120.0702,False
6.765789,171.0933,-40.70707,115.3875,False
6.782948,171.7954,-42.1881,110.5063,False
6.799458,172.4997,-43.43979,105.7672,False
6.816471,173.2256,-44.72983,100.8829,False
6.832554,173.9439,-45.78065,96.22727,False
6.849667,174.7457,-46.71788,91.24417,False
6.866528,175.5767,-47.46344,86.31066,False
6.88316,176.4402,-48.02364,81.42793,False
6.899479,177.3335,-48.40168,76.63094,False
6.916203,178.2493,-48.78925,71.71298,False
6.932713,179.2036,-48.99933,66.85684,False
6.949429,180.2239,-49.0386,61.94663,False
6.966328,181.3128,-48.90467,56.99834,False
6.983723,182.4349,-48.60643,52.18959,False
6.999516,183.4561,-48.20671,48.0667,False
7.016071,184.4675,-47.81087,43.98368,False
7.032681,185.4752,-47.30569,40.15493,False
7.049282,186.4707,-46.71135,36.59782,False
7.066174,187.465,-46.03529,33.25885,False
7.082806,188.4216,-45.31659,30.24163,False
7.099636,189.3603,-44.55408,27.46242,False
7.116283,190.211,-43.86303,24.94366,False
7.132717,191.0135,-43.16953,22.71421,False
7.1506,191.831,-42.42748,20.58453,False
7.166454,192.5093,-41.78726,18.92836,False
7.183643,193.1792,-41.13505,17.396,False
7.199902,193.7482,-40.56757,16.17752,False
